time_1,gyro_X,time_2,gyro_Y,time_3,gyro_Z,time_4,acceleration_X,time_5,acceleration_Y,time_6,acceleration_Z,time_7,Resultant g,time_8,Temperature,time_9,Pressure,time_10,Altitude,time_11,Pressure at sealevel (calculated),time_12,Latitude,time_13,Longitude,time_14,GPS_Altitude,time_15,speed,time_16,course,time_17
3571094,2.42,3572052,0.04,3572396,-0.55,3572517,-2.84,3572563,1.06,3572610,1.94,3572656,3.60,3572691,13.30,3578800,100771,3612585,46.56,3650319,100765,3686483,55.585755,3686563,38.081936,3686629,114.40,3686688,0.19,3686747,107.53,3686808
3750286,0.35,3750802,0.04,3750979,-0.18,3751238,-2.84,3751420,1.06,3751680,1.94,3751934,3.60,3752116,13.40,3760119,100767,3795533,46.81,3832540,100764,3869893,55.585740,3870242,38.082043,3870505,108.90,3870763,0.13,3870942,107.53,3871205
3883905,-1.06,3883976,-0.09,3884009,-0.06,3884036,-2.84,3884066,1.06,3884100,1.94,3884130,3.60,3884157,13.40,3889789,100763,3923527,46.90,3960502,100766,3995475,55.585740,3995525,38.082043,3995562,108.90,3995595,0.13,3995624,107.53,3995656
4056085,-0.51,4056526,-0.03,4056778,0.12,4056955,-2.83,4057214,1.05,4057398,1.94,4057654,3.59,4057831,13.40,4066020,100767,4100531,46.56,4137592,100761,4174853,55.585742,4175201,38.082034,4175464,108.60,4175646,0.03,4175901,107.53,4176166
4189328,0.47,4189399,-0.09,4189425,-0.18,4189452,-2.84,4189482,1.05,4189516,1.94,4189546,3.60,4189572,13.40,4195789,100769,4232168,46.14,4270486,100769,4304475,55.585742,4304525,38.082034,4304562,108.60,4304595,0.03,4304624,107.53,4304657
4316458,-2.40,4316529,-0.09,4316555,0.31,4316581,-2.83,4316612,1.05,4316646,1.94,4316676,3.59,4316703,13.40,4323147,100773,4362245,46.23,4397578,100768,4433834,55.585739,4434182,38.082036,4434444,107.60,4434626,0.07,4434881,107.53,4435145
4499944,-0.02,4500021,0.04,4500047,0.00,4500073,-2.84,4500104,1.03,4500137,1.93,4500168,3.59,4500194,13.40,4505789,100764,4542223,46.56,4578568,100765,4612475,55.585739,4612523,38.082035,4612560,107.30,4612592,0.01,4612622,107.53,4612654
4628225,3.58,4628668,0.10,4628920,-0.73,4629102,-2.84,4629356,1.04,4629540,1.93,4629796,3.59,4629972,13.50,4638150,100768,4673531,46.06,4707578,100770,4743838,55.585740,4744185,38.082037,4744447,107.10,4744629,0.04,4744884,107.53,4745147
4814266,8.77,4814337,0.16,4814363,-1.77,4814390,-2.84,4814420,1.07,4814454,1.93,4814484,3.59,4814511,13.40,4822030,100765,4860168,45.98,4894570,100769,4930818,55.585740,4931168,38.082038,4931431,107.10,4931688,0.04,4931867,107.53,4932130
4959466,9.93,4959904,0.16,4960086,-2.01,4960338,-2.84,4960519,1.09,4960778,1.94,4961039,3.61,4961216,13.40,4968343,100767,5002531,46.56,5039523,100764,5074475,55.585743,5074521,38.082040,5074558,107.00,5074590,0.08,5074619,107.53,5074651
5104438,9.08,5104511,0.16,5104537,-1.71,5104563,-2.84,5104594,1.13,5104628,1.93,5104658,3.62,5104684,13.40,5110789,100769,5147228,46.56,5183570,100764,5217475,55.585743,5217521,38.082043,5217558,107.00,5217590,0.17,5217619,235.45,5217652
5237735,4.19,5238258,0.10,5238434,-0.73,5238610,-2.85,5238866,1.15,5239131,1.93,5239312,3.63,5239563,13.40,5247137,100769,5283531,46.98,5317576,100766,5355879,55.585743,5356228,38.082043,5356491,107.00,5356748,0.05,5356927,235.45,5357190
5420626,-4.17,5421146,-0.09,5421323,0.55,5421574,-2.84,5421755,1.12,5422019,1.94,5422275,3.61,5422451,13.40,5430030,100762,5468162,47.23,5502568,100765,5538826,55.585743,5539180,38.082043,5539443,107.00,5539700,0.05,5539880,235.45,5540219
5567132,-2.70,5567649,-0.09,5567826,0.37,5568083,-2.84,5568264,1.11,5568523,1.92,5568704,3.61,5568957,13.40,5575791,100765,5609531,46.90,5646551,100761,5681475,55.585743,5681519,38.082042,5681557,106.80,5681589,0.04,5681618,235.45,5681651
5742234,1.51,5742751,0.04,5742928,-0.36,5743110,-2.84,5743366,1.11,5743626,1.94,5743807,3.61,5744065,13.40,5751984,100761,5787527,46.98,5823028,100766,5860811,55.585745,5861164,38.082039,5861426,106.80,5861684,0.03,5861863,235.45,5862126
5879563,2.79,5879632,0.04,5879658,-0.61,5879684,-2.84,5879715,1.12,5879749,1.93,5879779,3.61,5879805,13.40,5885791,100765,5919531,47.23,5957587,100762,5992475,55.585745,5992523,38.082039,5992560,106.80,5992592,0.03,5992622,235.45,5992654
6066197,1.32,6066803,0.04,6066980,-0.36,6067238,-2.84,6067419,1.13,6067678,1.94,6067931,3.62,6068113,13.40,6074789,100758,6108527,46.98,6145656,100763,6180475,55.585746,6180521,38.082037,6180558,106.90,6180590,0.01,6180620,235.45,6180652
6195005,-1.00,6195078,-0.09,6195104,-0.12,6195130,-2.84,6195161,1.12,6195195,1.94,6195225,3.62,6195252,13.40,6201791,100761,6238221,46.81,6273587,100773,6307474,55.585746,6307521,38.082037,6307558,107.30,6307591,0.02,6307620,235.45,6307653
6323805,0.04,6324335,0.04,6324512,-0.06,6324764,-2.84,6324944,1.12,6325284,1.93,6325464,3.62,6325641,13.50,6333043,100768,6368681,46.48,6402578,100767,6438880,55.585745,6439230,38.082038,6439492,107.40,6439750,0.07,6439929,235.45,6440193
6507597,1.02,6507670,0.10,6507696,-0.12,6507723,-2.84,6507753,1.13,6507787,1.94,6507817,3.62,6507844,13.50,6513791,100774,6550254,46.56,6585589,100769,6619474,55.585745,6619518,38.082038,6619556,107.50,6619588,0.07,6619617,235.45,6619649
6637034,0.65,6637555,0.04,6637732,-0.12,6637909,-2.84,6638247,1.12,6638431,1.94,6638686,3.62,6638862,13.50,6647050,100773,6683527,46.31,6717580,100765,6753768,55.585745,6754196,38.082037,6754459,107.60,6754641,0.13,6754896,235.45,6755161
6870692,0.23,6870765,-0.03,6870791,-0.12,6870818,-2.84,6870848,1.12,6870882,1.94,6870912,3.61,6870939,13.40,6876791,100763,6910531,46.73,6947670,100764,6982475,55.585745,6982521,38.082037,6982559,107.60,6982591,0.13,6982620,235.45,6982653
6996164,0.35,6996241,-0.09,6996267,-0.06,6996293,-2.84,6996324,1.13,6996358,1.94,6996388,3.62,6996415,13.50,7002789,100763,7039187,46.64,7074578,100768,7108474,55.585745,7108521,38.082036,7108559,107.70,7108591,0.05,7108620,235.45,7108653
7134402,0.16,7134845,-0.03,7135102,-0.12,7135279,-2.84,7135536,1.12,7135795,1.94,7135975,3.62,7136233,13.50,7144151,100769,7179531,46.64,7213587,100770,7249891,55.585746,7250242,38.082036,7250505,107.80,7250764,0.02,7250943,235.45,7251206
7276277,0.23,7276352,0.04,7276378,-0.12,7276404,-2.84,7276435,1.12,7276468,1.94,7276499,3.62,7276525,13.50,7282789,100771,7316527,46.64,7353590,100768,7388474,55.585746,7388525,38.082036,7388562,107.80,7388595,0.02,7388624,235.45,7388656
7410079,0.29,7410154,0.04,7410180,-0.12,7410206,-2.84,7410237,1.12,7410271,1.95,7410301,3.62,7410327,13.50,7416791,100771,7454168,46.64,7489589,100770,7525876,55.585746,7526223,38.082034,7526485,107.80,7526668,0.06,7526923,235.45,7527187
7557928,-0.02,7558453,-0.03,7558704,-0.12,7558881,-2.85,7559140,1.12,7559324,1.93,7559580,3.62,7559757,13.50,7568030,100772,7602527,46.31,7639595,100766,7674471,55.585746,7674519,38.082034,7674556,107.80,7674589,0.02,7674618,235.45,7674651
7696054,-0.45,7696130,0.04,7696156,0.00,7696181,-2.84,7696212,1.12,7696246,1.94,7696276,3.62,7696303,13.50,7702791,100770,7739173,46.56,7774589,100766,7808475,55.585746,7808519,38.082033,7808556,107.80,7808589,0.02,7808618,235.45,7808650
7824077,-0.63,7824597,-0.15,7824774,0.00,7824951,-2.84,7825212,1.12,7825472,1.93,7825728,3.61,7825905,13.50,7834010,100768,7870022,46.48,7903576,100773,7939876,55.585746,7940230,38.082032,7940493,107.70,7940750,0.05,7940930,235.45,7941269
7977139,-0.26,7977212,0.04,7977238,0.00,7977264,-2.83,7977295,1.13,7977329,1.93,7977359,3.61,7977385,13.50,7983791,100768,8017531,46.81,8056675,100771,8091475,55.585746,8091521,38.082032,8091558,107.60,8091590,0.05,8091619,235.45,8091652
8105121,1.32,8105198,-0.03,8105225,-0.36,8105251,-2.84,8105281,1.12,8105315,1.93,8105346,3.61,8105372,13.50,8111789,100768,8148211,46.39,8183578,100772,8217474,55.585746,8217521,38.082031,8217559,107.60,8217591,0.03,8217620,235.45,8217653
8248868,0.96,8249395,-0.09,8249572,-0.30,8249749,-2.83,8250085,1.12,8250268,1.94,8250521,3.61,8250698,13.50,8258097,100770,8293531,46.23,8330656,100768,8368882,55.585746,8369082,38.082031,8369119,107.60,8369152,0.04,8369181,235.45,8369214
8382613,0.59,8382690,-0.03,8382716,-0.30,8382742,-2.83,8382773,1.12,8382806,1.94,8382837,3.61,8382863,13.50,8388789,100772,8425191,46.81,8463597,100770,8497474,55.585746,8497523,38.082031,8497561,107.60,8497593,0.04,8497622,235.45,8497655
8511249,0.65,8511322,-0.03,8511348,-0.24,8511374,-2.83,8511405,1.12,8511438,1.95,8511469,3.62,8511496,13.50,8517791,100769,8555240,46.48,8591586,100771,8627810,55.585746,8628161,38.082031,8628424,107.70,8628682,0.05,8628861,235.45,8629124
8675235,0.59,8675322,-0.03,8675349,-0.18,8675375,-2.83,8675405,1.12,8675439,1.94,8675470,3.61,8675496,13.50,8681789,100771,8715527,46.14,8752617,100765,8787474,55.585746,8787521,38.082031,8787559,107.70,8787591,0.02,8787620,235.45,8787653
8801978,0.10,8802058,-0.03,8802084,-0.18,8802110,-2.84,8802141,1.12,8802174,1.94,8802205,3.61,8802231,13.50,8808791,100768,8845203,46.73,8880586,100767,8914475,55.585746,8914521,38.082031,8914559,107.80,8914591,0.02,8914621,235.45,8914654
8943598,0.23,8944125,-0.03,8944377,-0.12,8944554,-2.83,8944735,1.12,8945075,1.95,8945256,3.62,8945508,13.50,8953006,100770,8988527,46.39,9022580,100769,9060886,55.585746,9061236,38.082031,9061499,107.80,9061757,0.05,9061936,235.45,9062200
9084363,0.10,9084436,-0.03,9084462,-0.12,9084489,-2.83,9084519,1.12,9084553,1.95,9084584,3.62,9084610,13.50,9090791,100773,9127245,46.06,9165650,100773,9200475,55.585746,9200521,38.082031,9200559,107.80,9200591,0.05,9200620,235.45,9200653
9224776,-0.08,9225301,0.04,9225478,-0.06,9225729,-2.84,9225910,1.12,9226249,1.94,9226430,3.61,9226607,13.50,9234009,100772,9272012,46.39,9305578,100770,9341848,55.585746,9342201,38.082031,9342464,107.80,9342722,0.01,9342901,235.45,9343242
9373897,-0.26,9374422,-0.03,9374599,-0.06,9374851,-2.84,9375112,1.12,9375294,1.94,9375548,3.62,9375725,13.50,9383123,100770,9417531,46.56,9455635,100774,9490475,55.585746,9490521,38.082031,9490558,107.80,9490591,0.01,9490620,235.45,9490653
9512110,1.14,9512187,-0.03,9512213,-0.30,9512239,-2.84,9512270,1.12,9512304,1.93,9512334,3.61,9512361,13.50,9518788,100773,9557246,45.47,9592584,100773,9628753,55.585746,9629182,38.082030,9629445,107.80,9629703,0.02,9629882,235.45,9630146
9660880,1.81,9661405,0.10,9661581,-0.43,9661834,-2.84,9662096,1.12,9662280,1.95,9662536,3.62,9662712,13.50,9670107,100770,9704531,45.98,9741606,100768,9776475,55.585746,9776521,38.082030,9776558,107.80,9776591,0.09,9776620,235.45,9776652
9813001,0.10,9813078,-0.03,9813104,-0.18,9813130,-2.84,9813161,1.12,9813194,1.94,9813225,3.61,9813252,13.50,9819789,100774,9857180,45.98,9892580,100780,9928832,55.585746,9929181,38.082029,9929444,107.80,9929702,0.02,9929881,235.45,9930145
9960625,0.04,9961147,0.04,9961399,-0.12,9961576,-2.84,9961758,1.12,9962094,1.94,9962274,3.61,9962451,13.50,9970106,100772,10004531,46.48,10041606,100777,10076475,55.585746,10076521,38.082029,10076559,107.70,10076592,0.08,10076621,235.45,10076654
