time_1,gyro_X,time_2,gyro_Y,time_3,gyro_Z,time_4,acceleration_X,time_5,acceleration_Y,time_6,acceleration_Z,time_7,Resultant g,time_8,Temperature,time_9,Pressure,time_10,Altitude,time_11,Pressure at sealevel (calculated),time_12,Latitude,time_13,Longitude,time_14,GPS_Altitude,time_15,speed,time_16,course,time_17
2578191,-0.00,2578346,0.01,2578393,-0.01,2578437,0.70,2578484,0.10,2578532,12.13,2578581,12.93,2578632,15.30,2584573,101306,2620435,2.58,2655329,101293,2689086,55.585453,2689164,38.081575,2689230,106.40,2689291,0.03,2689350,0.00,2689406
2727483,-0.06,2728177,-0.04,2728354,-0.01,2728531,0.48,2728707,0.35,2728883,11.83,2729144,12.67,2729404,15.30,2736459,101297,2771160,1.91,2808063,101301,2844644,55.585453,2845080,38.081575,2845342,106.40,2845383,0.10,2845424,0.00,2845450
2881715,-0.07,2881812,-0.05,2881838,-0.02,2881865,0.54,2881891,0.11,2881917,11.23,2881954,11.88,2881990,15.30,2887569,101304,2923165,2.41,2958267,101292,2992084,55.585453,2992138,38.081575,2992176,106.40,2992216,0.10,2992257,0.00,2992283
3028389,-0.04,3029080,-0.01,3029256,-0.00,3029433,0.36,3029610,0.29,3029787,12.01,3030125,12.66,3030385,15.20,3037449,101279,3072160,3.25,3109072,101271,3144954,55.585454,3145008,38.081575,3145046,106.30,3145086,0.10,3145128,0.00,3145153
3166349,-0.07,3166446,-0.03,3166473,-0.00,3166499,0.25,3166525,0.16,3166551,12.07,3166579,12.48,3166615,15.20,3172569,101271,3208164,5.75,3245873,101259,3280084,55.585454,3280138,38.081575,3280175,106.30,3280216,0.10,3280257,0.00,3280283
3305644,-0.14,3306254,-0.02,3306430,-0.01,3306683,0.28,3306863,0.13,3307121,12.06,3307298,12.47,3307561,15.20,3314442,101269,3349156,4.50,3383270,101282,3418691,55.585453,3419125,38.081575,3419388,106.40,3419727,0.09,3420074,0.00,3420249
3464124,-0.04,3464217,-0.02,3464243,-0.01,3464270,0.55,3464296,0.12,3464326,11.92,3464358,12.59,3464395,15.20,3470569,101277,3505974,3.58,3544018,101275,3578082,55.585453,3578134,38.081575,3578172,106.40,3578212,0.09,3578253,0.00,3578279
3599514,0.10,3599607,0.02,3599633,-0.01,3599659,0.50,3599685,0.33,3599712,11.89,3599740,12.72,3599776,15.20,3606428,101264,3643176,4.75,3677268,101274,3712675,55.585453,3713188,38.081575,3713451,106.40,3713716,0.05,3714063,0.00,3714239
3760862,-0.10,3760965,-0.01,3760991,-0.01,3761017,0.61,3761044,0.18,3761070,11.52,3761102,12.31,3761138,15.20,3767569,101278,3801156,4.41,3839027,101272,3874082,55.585453,3874134,38.081575,3874172,106.50,3874212,0.01,3874253,0.00,3874279
3895502,-0.01,3895596,-0.01,3895622,-0.01,3895648,0.32,3895674,0.37,3895700,12.03,3895729,12.72,3895765,15.20,3902197,101263,3939206,5.75,3973268,101254,4008649,55.585453,4009162,38.081575,4009424,106.60,4009690,0.23,4010039,0.00,4010215
