time_1,gyro_X,time_2,gyro_Y,time_3,gyro_Z,time_4,acceleration_X,time_5,acceleration_Y,time_6,acceleration_Z,time_7,Resultant g,time_8,Temperature,time_9,Pressure,time_10,Altitude,time_11,Pressure at sealevel (calculated),time_12,Latitude,time_13,Longitude,time_14,GPS_Altitude,time_15,speed,time_16,course,time_17
3677826,0.00,3677989,0.43,3678036,-0.39,3678081,0.20,3678127,-0.20,3678175,10.74,3678224,10.74,3678275,17.40,3684572,101306,3720478,1.58,3758437,101313,3792084,55.585642,3792162,38.081947,3792228,101.40,3792289,0.38,3792348,0.00,3792404
3861305,0.23,3861621,-0.86,3861647,-0.22,3861673,0.91,3861700,0.56,3861726,8.23,3861756,9.70,3861791,17.40,3867567,101308,3901158,2.25,3938090,101296,3973080,55.585662,3973134,38.081940,3973172,109.20,3973213,0.10,3973254,0.00,3973280
3991107,-0.45,3991205,-0.27,3991231,-1.39,3991258,1.39,3991284,-0.32,3991310,8.49,3991337,9.56,3991371,17.40,3997567,101303,4033144,1.75,4068264,101311,4102082,55.585665,4102136,38.081938,4102174,109.30,4102215,0.11,4102256,0.00,4102282
4124106,-0.03,4124712,-0.49,4124888,-1.06,4125149,0.11,4125325,0.07,4125501,9.75,4125754,9.93,4126019,17.30,4133514,101310,4168155,0.75,4202268,101306,4237671,55.585667,4238106,38.081936,4238369,109.40,4238707,0.19,4239055,0.00,4239231
4340622,-0.98,4341314,-0.36,4341490,-1.66,4341746,1.79,4342006,0.57,4342183,11.48,4342364,13.84,4342624,17.30,4349417,101287,4384154,3.58,4418271,101275,4454646,55.585670,4455080,38.081935,4455343,109.40,4455682,0.19,4456029,0.00,4456204
4480733,0.47,4480827,-1.57,4480853,-0.70,4480879,4.07,4480905,-4.86,4480940,16.55,4480968,15.77,4481005,17.40,4486567,101276,4521587,3.25,4558949,101279,4594080,55.585670,4594136,38.081935,4594174,109.40,4594215,0.19,4594256,0.00,4594282
4658868,0.84,4658969,0.74,4658996,-1.17,4659022,4.99,4659049,-1.09,4659075,15.50,4659107,19.41,4659144,17.40,4665567,101288,4699154,3.16,4735988,101300,4771082,55.585676,4771134,38.081928,4771172,108.70,4771213,0.32,4771254,9.08,4771283
4789134,0.26,4789227,1.15,4789254,-1.52,4789280,5.26,4789306,-0.36,4789333,14.37,4789361,19.26,4789397,17.40,4795567,101307,4831221,0.75,4866266,101324,4900080,55.585677,4900136,38.081930,4900174,108.50,4900214,0.06,4900255,9.08,4900284
4972206,0.45,4972302,0.34,4972328,-0.10,4972354,-0.34,4972380,0.36,4972407,11.26,4972439,11.28,4972475,17.50,4978567,101324,5014176,0.17,5052049,101327,5086082,55.585678,5086134,38.081931,5086172,108.50,5086212,0.43,5086254,357.15,5086286
5104112,-0.30,5104201,-0.03,5104227,-0.04,5104253,-0.56,5104279,0.49,5104310,10.72,5104338,10.65,5104374,17.50,5111417,101333,5148165,0.17,5183267,101323,5218633,55.585680,5219146,38.081930,5219409,108.80,5219670,0.07,5220017,357.15,5220199
5279904,-0.03,5280006,-0.01,5280032,-0.02,5280058,-0.08,5280084,-0.02,5280111,11.95,5280143,11.85,5280179,17.40,5286566,101323,5322226,-0.25,5357271,101322,5391078,55.585680,5391134,38.081931,5391172,109.00,5391212,0.23,5391253,357.15,5391286
5409106,-0.05,5409200,-0.02,5409226,-0.01,5409252,-0.02,5409278,-0.02,5409305,11.80,5409333,11.76,5409369,17.50,5416439,101324,5453264,-0.33,5488267,101328,5523646,55.585681,5524158,38.081933,5524421,109.30,5524687,0.12,5525036,357.15,5525294
5602116,-0.05,5602207,-0.02,5602233,-0.01,5602260,-0.09,5602286,-0.00,5602316,11.90,5602348,11.81,5602384,17.50,5608856,101311,5646211,0.17,5681267,101323,5716713,55.585681,5717071,38.081934,5717334,109.30,5717675,0.05,5718019,357.15,5718201
5756776,-0.05,5757386,-0.02,5757641,-0.01,5757818,-0.05,5758076,-0.04,5758253,11.79,5758431,11.70,5758693,17.40,5764567,101316,5798154,0.25,5834943,101316,5870080,55.585682,5870136,38.081935,5870174,109.40,5870214,0.18,5870256,357.15,5870288
5938187,-0.06,5938801,-0.02,5939059,-0.01,5939236,-0.10,5939413,-0.01,5939665,11.84,5939847,11.73,5940190,17.50,5947422,101319,5982155,0.33,6018998,101329,6055734,55.585682,6056092,38.081937,6056355,109.50,6056693,0.10,6057040,357.15,6057223
6075226,-0.06,6075315,-0.03,6075341,-0.01,6075367,-0.09,6075393,-0.03,6075424,11.87,6075452,11.75,6075489,17.50,6081567,101325,6117148,-0.42,6154940,101324,6189080,55.585682,6189136,38.081937,6189174,109.50,6189214,0.10,6189256,357.15,6189288
6263279,-0.05,6263374,-0.02,6263400,-0.01,6263426,-0.01,6263453,0.01,6263479,11.88,6263511,11.87,6263548,17.50,6269564,101328,6303158,-0.33,6341102,101327,6376080,55.585684,6376136,38.081939,6376174,109.70,6376214,0.04,6376255,357.15,6376288
6395984,-0.05,6396077,-0.03,6396103,-0.01,6396130,-0.05,6396156,0.07,6396182,11.86,6396210,11.88,6396246,17.50,6402564,101316,6438259,0.42,6473268,101316,6507080,55.585685,6507136,38.081940,6507174,109.70,6507214,0.07,6507256,357.15,6507289
6582328,-0.06,6582423,-0.03,6582449,-0.01,6582475,-0.02,6582502,0.06,6582528,11.83,6582560,11.88,6582596,17.50,6588564,101325,6624243,0.25,6661137,101321,6695080,55.585685,6695136,38.081940,6695174,109.70,6695215,0.14,6695256,357.15,6695289
6719097,-0.06,6719784,-0.02,6719967,-0.01,6720218,-0.06,6720395,0.03,6720571,11.83,6720750,11.80,6721093,17.50,6728412,101325,6763158,-0.42,6797269,101327,6832655,55.585687,6833168,38.081942,6833430,109.80,6833696,0.10,6834043,357.15,6834301
6884383,-0.06,6884478,-0.03,6884504,-0.01,6884531,-0.07,6884557,0.02,6884583,11.85,6884612,11.80,6884648,17.50,6890564,101315,6926161,-0.17,6961780,101318,6995082,55.585687,6995134,38.081942,6995172,109.80,6995212,0.10,6995254,357.15,6995286
7072532,-0.05,7072621,-0.03,7072648,-0.01,7072678,-0.03,7072704,0.02,7072730,11.86,7072763,11.85,7072799,17.40,7078564,101319,7114296,0.00,7150961,101323,7186074,55.585687,7186126,38.081942,7186164,109.70,7186204,0.07,7186246,357.15,7186279
7205811,-0.05,7205908,-0.02,7205943,-0.01,7205969,-0.01,7205995,0.08,7206021,11.77,7206050,11.84,7206086,17.40,7211564,101323,7247263,0.58,7282266,101327,7317758,55.585688,7318194,38.081942,7318457,109.70,7318722,0.07,7319070,357.15,7319328
7366464,-0.06,7366551,-0.03,7366578,-0.01,7366608,-0.09,7366634,0.03,7366660,11.92,7366693,11.87,7366729,17.40,7372564,101324,7406162,0.08,7443988,101325,7479080,55.585687,7479134,38.081941,7479172,109.70,7479212,0.12,7479254,357.15,7479287
7498856,-0.05,7498959,-0.02,7498986,-0.01,7499012,-0.10,7499038,0.01,7499064,11.77,7499093,11.69,7499129,17.50,7505564,101328,7541215,-0.17,7576271,101322,7611624,55.585688,7612059,38.081940,7612399,109.70,7612660,0.12,7613008,357.15,7613190
7660402,-0.05,7660489,-0.03,7660519,-0.01,7660545,-0.13,7660572,0.02,7660598,11.76,7660630,11.65,7660666,17.50,7666564,101322,7700162,0.08,7737962,101325,7773080,55.585688,7773134,38.081940,7773172,109.70,7773212,0.07,7773254,357.15,7773287
7815361,-0.06,7816058,-0.02,7816234,-0.01,7816486,0.00,7816662,-0.02,7816839,11.85,7817100,11.83,7817360,17.40,7824417,101321,7859166,0.33,7893271,101324,7928714,55.585689,7929151,38.081939,7929414,109.70,7929678,0.06,7930026,357.15,7930283
7974190,-0.06,7974281,-0.03,7974307,-0.01,7974334,-0.09,7974360,0.06,7974386,11.86,7974418,11.83,7974454,17.40,7980564,101318,8016268,-0.58,8053975,101327,8088080,55.585689,8088134,38.081939,8088172,109.70,8088213,0.06,8088254,357.15,8088287
8111912,-0.05,8112608,-0.02,8112785,-0.01,8113042,-0.06,8113219,0.03,8113395,11.85,8113649,11.82,8113910,17.40,8121407,101327,8156154,-0.25,8190277,101330,8225628,55.585689,8226062,38.081939,8226325,109.60,8226665,0.09,8227012,357.15,8227194
8271150,-0.05,8271244,-0.02,8271270,-0.01,8271296,-0.06,8271322,0.06,8271349,11.84,8271381,11.84,8271417,17.40,8277564,101331,8313293,-0.25,8351002,101324,8385080,55.585690,8385134,38.081939,8385172,109.70,8385212,0.09,8385253,357.15,8385285
8404837,-0.05,8404942,-0.02,8404968,-0.01,8404994,-0.10,8405020,0.04,8405046,11.82,8405075,11.76,8405111,17.40,8411454,101329,8448203,0.08,8483269,101330,8518720,55.585690,8519156,38.081939,8519419,109.60,8519684,0.10,8520030,357.15,8520288
8576681,-0.06,8576773,-0.03,8576799,-0.01,8576825,-0.11,8576852,0.04,8576878,11.84,8576910,11.77,8576952,17.40,8582564,101331,8618257,0.00,8654920,101327,8689073,55.585690,8689126,38.081939,8689163,109.70,8689204,0.02,8689246,357.15,8689278
8712808,-0.05,8713501,-0.03,8713679,-0.01,8713855,-0.05,8714113,-0.00,8714290,11.86,8714468,11.80,8714728,17.40,8722477,101331,8757155,-0.08,8791267,101327,8826771,55.585691,8827207,38.081939,8827470,109.60,8827736,0.11,8828082,357.15,8828340
8874965,-0.06,8875058,-0.02,8875084,-0.01,8875111,-0.13,8875137,0.07,8875163,11.78,8875196,11.71,8875232,17.40,8881564,101322,8917264,-0.33,8955060,101324,8989080,55.585691,8989136,38.081939,8989174,109.60,8989214,0.11,8989256,357.15,8989288
9012936,-0.05,9013626,-0.03,9013803,-0.01,9014060,-0.04,9014237,-0.04,9014413,11.86,9014592,11.77,9014853,17.40,9022428,101324,9057155,-0.58,9091269,101334,9126750,55.585691,9127108,38.081940,9127371,109.60,9127709,0.01,9128057,357.15,9128239
9172137,-0.06,9172230,-0.02,9172257,-0.01,9172283,-0.09,9172309,0.04,9172335,11.88,9172367,11.83,9172404,17.40,9178564,101330,9214280,-0.25,9252068,101335,9286080,55.585690,9286134,38.081940,9286172,109.50,9286211,0.01,9286253,357.15,9286285
9305928,-0.06,9306026,-0.02,9306052,-0.01,9306078,-0.08,9306104,0.04,9306130,11.80,9306159,11.77,9306195,17.50,9313431,101325,9350257,-0.08,9384267,101327,9418082,55.585690,9418136,38.081941,9418174,109.40,9418214,0.04,9418255,357.15,9418288
9466367,-0.05,9467058,-0.03,9467235,-0.01,9467412,-0.12,9467589,0.10,9467841,11.78,9468030,11.76,9468066,17.40,9473564,101329,9507162,-0.33,9545013,101325,9580080,55.585690,9580134,38.081941,9580172,109.40,9580212,0.04,9580253,357.15,9580286
9599935,-0.06,9600032,-0.02,9600059,-0.01,9600085,-0.11,9600111,0.06,9600138,11.87,9600166,11.82,9600202,17.40,9606564,101333,9643149,-0.75,9678266,101325,9712082,55.585690,9712136,38.081941,9712174,109.40,9712214,0.03,9712255,357.15,9712288
9752710,-0.05,9753401,-0.03,9753578,-0.01,9753755,-0.09,9754013,0.03,9754189,11.82,9754368,11.76,9754628,17.40,9761891,101334,9795158,-0.25,9832084,101335,9867080,55.585690,9867134,38.081941,9867172,109.40,9867212,0.03,9867253,357.15,9867286
9894972,-0.05,9895070,-0.03,9895096,-0.01,9895122,-0.13,9895149,0.08,9895175,11.84,9895207,11.78,9895243,17.40,9901564,101330,9937226,-0.25,9972273,101330,10006080,55.585690,10006132,38.081941,10006170,109.40,10006211,0.02,10006253,357.15,10006285
10058975,-0.06,10059068,-0.03,10059095,-0.01,10059121,-0.03,10059147,0.04,10059174,11.82,10059202,11.83,10059239,17.40,10065564,101331,10099159,0.17,10136046,101327,10171078,55.585691,10171139,38.081941,10171177,109.50,10171217,0.01,10171259,357.15,10171292
10198959,-0.06,10199055,-0.02,10199081,-0.01,10199107,-0.07,10199134,0.04,10199160,11.83,10199193,11.79,10199230,17.40,10205564,101331,10242302,0.17,10277269,101328,10312760,55.585690,10313119,38.081941,10313457,109.40,10313719,0.02,10314066,357.15,10314248
10355947,-0.06,10356040,-0.02,10356067,-0.01,10356093,-0.02,10356120,0.00,10356146,11.91,10356174,11.89,10356211,17.40,10362564,101331,10396159,0.00,10432033,101331,10467492,55.585691,10467544,38.081941,10467582,109.40,10467623,0.04,10467664,357.15,10467697
10495298,-0.05,10495396,-0.03,10495422,-0.01,10495449,-0.14,10495476,0.10,10495502,11.83,10495535,11.78,10495571,17.40,10501564,101332,10537268,-0.83,10572267,101335,10606080,55.585691,10606138,38.081941,10606176,109.40,10606217,0.06,10606259,357.15,10606292
10647631,-0.05,10648241,-0.03,10648497,-0.01,10648674,-0.10,10648850,0.07,10649109,11.81,10649287,11.78,10649549,17.40,10656427,101335,10690159,-1.00,10726999,101336,10762080,55.585691,10762134,38.081941,10762172,109.40,10762213,0.05,10762255,357.15,10762288
10789931,-0.05,10790028,-0.02,10790055,-0.01,10790081,-0.07,10790108,0.00,10790134,11.86,10790166,11.78,10790203,17.40,10796564,101336,10832238,-0.58,10867271,101342,10901082,55.585691,10901136,38.081942,10901175,109.40,10901215,0.07,10901257,357.15,10901290
10931885,-0.06,10932574,-0.03,10932751,-0.01,10933011,-0.11,10933188,0.05,10933365,11.82,10933619,11.76,10933879,17.50,10941461,101346,10976159,-1.00,11012967,101341,11049626,55.585691,11050062,38.081942,11050325,109.40,11050662,0.07,11051009,357.15,11051192
11081998,-0.05,11082096,-0.02,11082122,-0.01,11082149,-0.13,11082175,0.08,11082202,11.83,11082234,11.77,11082271,17.50,11088564,101342,11124226,-1.50,11159269,101343,11193082,55.585691,11193136,38.081942,11193175,109.40,11193215,0.07,11193257,357.15,11193290
